  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
720533 ***** 201601010016 300   3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   21   14 ****** 30.36 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010036 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   21   12 ****** 30.36 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010056 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   21   12 ****** 30.36 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010116 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   12 ****** 30.37 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010136 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   12 ****** 30.37 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010156 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   12 ****** 30.38 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010216 230   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   12 ****** 30.39 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010236 360   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   16   10 ****** 30.40 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010256 340   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   14   10 ****** 30.40 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010316 350   5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   14   12 ****** 30.41 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010336 350   3 ***  32 *** * * *  7.0 ** ** ** ** ** ** ** ** *   14   12 ****** 30.41 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010356 ***   0 ***  32 *** * * * 10.0 ** ** ** ** ** ** ** ** *   18   12 ****** 30.41 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010416 ***   0 ***  32 *** * * * 10.0 ** ** ** ** ** ** ** ** *   18   12 ****** 30.41 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010436 210   3 ***  34 *** * * *  7.0 ** ** ** ** ** ** ** ** *   18   14 ****** 30.41 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010456 190   3 ***  34 *** * * * 10.0 ** ** ** ** ** ** ** ** *   18   12 ****** 30.41 ****** *** *** ***** ***** ***** ***** **
720533 ***** 201601010516 210   3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   18   10 ****** 30.41 ****** *** *** ***** ***** ***** ***** **
